,name,price
0,SCHW,74.7
1,MSFT,409.73
2,NEP,29.08
3,RDDT,45.0
4,BBY,75.88
5,BAC,37.95
6,GEN,20.85
7,WHD,51.76
8,TSM,137.93
9,GTX,9.83
10,AMZN,179.7
11,GOOGL,172.33
12,WMT,60.11
13,INTC,32.03
14,JNJ,146.65
15,AAPL,170.89
16,HIMS,12.64
17,JPM,193.48
18,VSH,22.41
19,RMR,23.51
20,PFE,25.37
21,PARA,11.98
22,ABCB,48.19
23,MRK,131.13
24,RNGR,10.23
25,PFS,15.23
26,DTC,1.9
27,TOYOF,23.0
28,PLTR,22.38
29,IMMR,7.13
30,INMD,17.06
31,T,16.86
32,PDSB,3.26
33,SOFI,7.71
34,FITB,36.97
35,GHM,27.94
36,CPNG,23.08
37,SLB,49.24
38,BW,1.0
39,LUMN,1.21
40,LILA,7.57
41,MNTK,3.85
